,target_return,achieved_return,achieved_vol,sharpe
0,-0.010969195176195656,0.07832924546636034,0.09238977072618823,0.8478129651225298
1,0.022832750818049537,0.07832924546042176,0.09238977072633123,0.84781296505694
2,0.05663469681229473,0.07832924545450431,0.09238977072647432,0.8478129649915782
3,0.09043664280653993,0.09043664389307202,0.09271606603926731,0.975415025210087
4,0.12423858880078512,0.12423858843599335,0.09591239202471397,1.2953340628182906
5,0.1580405347950303,0.15804053470598425,0.10230658340443362,1.5447738498042278
6,0.19184248078927552,0.1918424806839565,0.11124090179871939,1.7245678305546155
7,0.2256444267835207,0.22564442655580366,0.12218194734675823,1.8467902292915168
8,0.2594463727777659,0.25944637240040513,0.13464140182246032,1.9269434875798015
9,0.2932483187720111,0.2932483182348222,0.14823688715993502,1.978241204690383
10,0.32705026476625626,0.32705026408261967,0.16268383801308905,2.010342687245344
11,0.36085221076050145,0.36085220254789063,0.17789236120573432,2.0284862154961303
12,0.3946541567547467,0.39465415675474286,0.19454227427061385,2.0286292952747518
13,0.4284561027489919,0.4284561027489711,0.212858301832312,2.01287005985092
14,0.46225804874323706,0.46225802513954223,0.23247979791705073,1.9883793313708782
15,0.4960599947374822,0.49605997570841254,0.2531033572783481,1.9599106904096697
16,0.5298619407317274,0.5298619244814561,0.2745032028060321,1.9302577130798149
17,0.5636638867259727,0.5636638728537473,0.29651130406231563,1.900986118004075
18,0.5974658327202178,0.597465823692474,0.3209635005996048,1.8614759079344663
19,0.631267778714463,0.6312677787144575,0.35514951575075937,1.7774704757234565
20,0.6650697247087082,0.2952166203976402,0.1902460782198743,1.5517619241351595
21,0.6988716707029534,0.2952166203976402,0.1902460782198743,1.5517619241351595
22,0.7326736166971985,0.2952166203976402,0.1902460782198743,1.5517619241351595
23,0.7664755626914438,0.2952166203976402,0.1902460782198743,1.5517619241351595
24,0.800277508685689,0.2952166203976402,0.1902460782198743,1.5517619241351595
25,0.8340794546799342,0.2952166203976402,0.1902460782198743,1.5517619241351595
26,0.8678814006741794,0.2952166203976402,0.1902460782198743,1.5517619241351595
27,0.9016833466684245,0.2952166203976402,0.1902460782198743,1.5517619241351595
28,0.9354852926626698,0.2952166203976402,0.1902460782198743,1.5517619241351595
29,0.9692872386569149,0.2952166203976402,0.1902460782198743,1.5517619241351595
